State Name,City Name
Andaman And Nicobar Islands,Port Blair
Andhra Pradesh,Addanki
Andhra Pradesh,Adoni
Andhra Pradesh,Akiveedu
Andhra Pradesh,Allagadda
Andhra Pradesh,Alluru
Andhra Pradesh,Amadalavalasa
Andhra Pradesh,Amalapuram
Andhra Pradesh,Anantapur
Andhra Pradesh,Atmakur
Andhra Pradesh,Atmakur (Kurnool)
Andhra Pradesh,Badvel
Andhra Pradesh,Bapatla
Andhra Pradesh,Bethamcherla
Andhra Pradesh,Bhimavaram
Andhra Pradesh,B Kothakota
Andhra Pradesh,Bobbili
Andhra Pradesh,Buchireddypalem
Andhra Pradesh,Chilakaluripeta
Andhra Pradesh,Chimakurthy
Andhra Pradesh,Chinthalapudi
Andhra Pradesh,Chirala
Andhra Pradesh,Chittoor
Andhra Pradesh,Cuddapah
Andhra Pradesh,Dachepalli
Andhra Pradesh,Darsi
Andhra Pradesh,Dharmavaram
Andhra Pradesh,Dhone(M)
Andhra Pradesh,Eluru
Andhra Pradesh,Giddalur
Andhra Pradesh,Gollaprolu
Andhra Pradesh,Gooty
Andhra Pradesh,Gudivada
Andhra Pradesh,Gudur
Andhra Pradesh,Gudur (Kurnool)
Andhra Pradesh,Guntakal
Andhra Pradesh,Guntur
Andhra Pradesh,Gurajala
Andhra Pradesh,Hindupur
Andhra Pradesh,Ichapuram
Andhra Pradesh,Jaggiahpet
Andhra Pradesh,Jammalamadugu
Andhra Pradesh,Jangareddygudem
Andhra Pradesh,Kadiri
Andhra Pradesh,Kakinada
Andhra Pradesh,Kalyandurg
Andhra Pradesh,Kamalapuram
Andhra Pradesh,Kandukur
Andhra Pradesh,Kanigiri
Andhra Pradesh,Kavali
Andhra Pradesh,Kondapalli
Andhra Pradesh,Kovvur
Andhra Pradesh,Kuppam
Andhra Pradesh,Kurnool
Andhra Pradesh,Macherla
Andhra Pradesh,Machilipatnam Municipal Corporation
Andhra Pradesh,Madakasira
Andhra Pradesh,Madanapalli
Andhra Pradesh,Mandapeta
Andhra Pradesh,Mangalagiri Tadepalli
Andhra Pradesh,Markapur
Andhra Pradesh,Mummidivaram
Andhra Pradesh,Mydukur
Andhra Pradesh,Nagari
