Title,wrong imported  Goonj Office,Correct Goonj Office,Valid
2024/KAR/Coll/324,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/359,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/322,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/328,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/341,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/397,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/344,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/343,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/413,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/414,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/320,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/351,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/408,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/382,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/357,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/371,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/392,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/348,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/393,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/325,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/345,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/412,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/395,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/374,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/394,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/391,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/373,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/323,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/346,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/347,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/378,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/352,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/406,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/329,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/409,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/355,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/340,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/334,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/386,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/350,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/411,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/353,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/407,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/375,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/376,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/342,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/404,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/367,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/336,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/405,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/361,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/370,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/380,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/396,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/330,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/385,Goonj Dehradun,Goonj Bangalore,1
2024/KAR/Coll/400,Goonj Dehradun,Goonj Bangalore,1
