Event Title,Event Type,Coordinating Goonj Office,State,City,Event Venue,Created Date (DD-MM-YYYY),Start Date (DD-MM-YYYY),End Date (DD-MM-YYYY),Goonj Event Status,Goonj Event Record Type,Default Role,Goonj Coordinating POC (Main),Number of Participants,Total Amount Contributed,Total Product Sale,Any remarks for internal use,Agenda/Theme and Flow of the meeting,Feedback of the meet
2024/DEL/Volu/004,7,Goonj Delhi,Delhi,New Delhi,Viswa Yuva Kendra Chanakyapuri,2024-06-24,2024-06-22 10:00:00,2024-06-23 17:00:00,Completed,Goonj Event,Host,anjali.mishra@goonj.org,,,15500,,,
2024/DEL/Volu/005,7,Goonj Delhi,Delhi,North,"KP. 236 Pitampura, Near City Park Hotal",2024-08-30,2024-09-08 10:00:00,2024-09-08 17:00:00,Completed,Goonj Event,Host,anjali.mishra@goonj.org,,,,,,
2024/DEL/Volu/006,7,Goonj Delhi,Delhi,East,"Recreation room, Near water tank, Anand lok housing society, Mayur vihar phase 1 Delhi 91.",2024-09-04,2024-09-14 10:00:00,2024-09-14 17:00:00,Completed,Goonj Event,Host,prem@goonj.org,,,,,,
2024/KAR/Volu/002,7,Goonj Bangalore,Karnataka,Bengaluru Urban,"GOONJ bangalore office
 
 Goonj, Survey No. 25&26, 37/1, 6th Main, ACES layout: Block A, Singasandra, Bengaluru, Karnataka-560068. Landmark: EPF Office.",2024-12-17,2024-12-14 10:00:00,2024-12-14 17:00:00,Completed,Goonj Event,Host,navami@goonj.org,,,,,,
2024/MHR/Volu/016,7,Goonj Mumbai,Maharashtra,Mumbai Suburban,"""Flat No 802 Eden Palace Plot No 16 Sector 16A Sanpada Navi Mumbai.
 
 Landmark: Near SBI Bank""",2024-07-27,2024-08-11 10:00:00,2024-08-11 17:00:00,Completed,Goonj Event,Host,chaubey.neha@goonj.org,,,,,,
2024/MHR/Volu/017,7,Goonj Mumbai,Maharashtra,Mumbai City,"""301 Kalanidhi RBT Road
 
 Near Ridhi Sidhi Apt,. Mul East
 
 Mumbai 400081""",2024-08-05,2024-08-10 10:00:00,2024-08-10 17:00:00,Completed,Goonj Event,Host,chaubey.neha@goonj.org,,,,,,
2024/MHR/Volu/018,7,Goonj Mumbai,Maharashtra,Thane,"Cloverdale Multipurpose Hall, One Hiranandani Park, Patlipada Ghodbunder road Thane West",2024-08-05,2024-09-01 10:00:00,2024-09-01 17:00:00,Completed,Goonj Event,Host,chaubey.neha@goonj.org,,,,,,
2024/TND/Volu/006,7,Goonj Chennai,Tamil Nadu,Chennai,"Goonj Chennai,
 
 Siva Parvati Kalyana Mandabam, S. Kolathur, Viduthalai Nagar, Kovilambakkam",2024-07-04,2024-07-09 10:00:00,2024-07-09 17:00:00,Completed,Goonj Event,Host,Anisha@goonj.org,,,,Rural Volunteer Meet in Chennai office.,,
2024/TND/Volu/007,7,Goonj Chennai,Tamil Nadu,Chennai,"SBIOA Unity Enclave
 
 Mambakkam, Chennai, Tamil Nadu, 600127",2024-09-25,2024-09-21 10:00:00,2024-09-21 17:00:00,Completed,Goonj Event,Host,Anisha@goonj.org,,,,,"Knowing Goonj, JGW interaction.",Response was good. Queries are clarified. Suggestions are noted. Assured to spread the information in the Apartment and also to their knits.
2024/TND/Volu/008,7,Goonj Chennai,Tamil Nadu,Chennai,"GLN Residency Flats
 
 Vaishnava College Rd, Shanthi Nagar, Chromepet, Chennai, Tamil Nadu 600044",2024-09-25,2024-09-21 10:00:00,2024-09-21 17:00:00,Completed,Goonj Event,Host,purnesh@goonj.org,,,,,"Knowing Goonj, JGW interaction.",Response was good. Queries are clarified. Suggestions are noted. Assured to spread the information in the Apartment.
2024/TND/Volu/009,7,Goonj Chennai,Tamil Nadu,Chennai,"B44 Twincourtz apartments , Anna Nedunchalai , Kandanchavadi 
 
 Opposite to Global Infocity 
 
 Perungudi",2024-09-30,2024-09-29 10:00:00,2024-09-29 17:00:00,Completed,Goonj Event,Host,purnesh@goonj.org,,,,,,
2024/TND/Volu/010,7,Goonj Chennai,Tamil Nadu,Chennai,"Goonj Chennai
 
 Siva parvathy kalyana mandabam, S. Kolathur, Viduthalai Nagar, Kovilambakkam, Chennai - 600129",2024-12-08,2024-12-07 10:00:00,2024-12-07 17:00:00,Completed,Goonj Event,Host,Anisha@goonj.org,,,,,,"We had 15+ volunteers who Connect , collaborate, we had experience sharing, cross learning, Interactive sessions, including a learning tour at processing and our production center, Fun activities with light refreshments, Explore our GBG and Book Stall."
2024/UPD/Volu/003,7,Goonj Delhi,Uttar Pradesh,Lucknow,"Bikaner Express (Restaurant) Aashiana sec-K, K829 opposite vishal Mega Mart Sec-k Ashiyana",2024-05-29,2024-05-25 10:00:00,2024-05-25 17:00:00,Completed,Goonj Event,Host,prem@goonj.org,,,,No,,
2024/UPD/Volu/004,7,Goonj Delhi,Uttar Pradesh,Gautam Buddha Nagar,"House no-55, Sector 28, Yamuna Enclave, Arun Vihar near Brahmaputra matke, Noida",2024-09-04,2024-09-08 10:00:00,2024-09-08 17:00:00,Completed,Goonj Event,Host,pooja.prasad@goonj.org,,,,,,
