Dropping Center Code,Date of Material Collection (DD/MM/YY),Number of Bags loaded in vehicle ,Material weight (In KGs),Vehicle Category,How much vehicle is filled,Type,To which PU/Center material is being sent
2025/DEL/DC/5704,05/04/2022,Imported Dispatches,650,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,06/04/2022,Imported Dispatches,650,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,11/04/2022,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,12/04/2022,Imported Dispatches,650,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,14/04/2022,Imported Dispatches,700,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,20/04/2022,Imported Dispatches,1/24/1902,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,23/04/2022,Imported Dispatches,1750,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,29/04/2022,Imported Dispatches,1560,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,06/05/2022,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,10/05/2022,Imported Dispatches,6/3/1903,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,20/05/2022,Imported Dispatches,725,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,23/05/2022,Imported Dispatches,06/13/1903,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,02/06/2022,Imported Dispatches,1300,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,03/06/2022,Imported Dispatches,10/31/1903,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,03/06/2022,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,06/06/2022,Imported Dispatches,6/3/1903,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,09/06/2022,Imported Dispatches,04/29/1902,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5704,15/06/2022,Imported Dispatches,7/23/1903,Tata 407 (2500 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,11/04/2022,Imported Dispatches,3/10/1902,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,26/04/2022,Imported Dispatches,850,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,27/04/2022,Imported Dispatches,850,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,07/05/2022,Imported Dispatches,4/29/1902,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,12/05/2022,Imported Dispatches,850,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,20/05/2022,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,24/05/2022,Imported Dispatches,950,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,01/06/2022,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2021/DEL/Drop/002,02/06/2022,Imported Dispatches,550,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,04/04/2022,Imported Dispatches,750,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,04/05/2022,Imported Dispatches,750,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,12/04/2022,Imported Dispatches,525,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,18/04/2022,Imported Dispatches,1025,Pickup 8ft (1250 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,28/04/2022,Imported Dispatches,440,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,06/05/2022,Imported Dispatches,525,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,14/05/2022,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,17/05/2022,Imported Dispatches,550,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
2025/DEL/DC/5713,19/05/2022,Imported Dispatches,550,Tata Ace (750 KG),Full,Dropping Center,Goonj Delhi
