Camp Code,Start Time,end time ,Status,Type,,,,
2024/BHR/CC/106,2024-10-02 9:00:00,2024-10-05 21:00:00,Authorized,,Individual Camp,,Completed,Should be Authorized
2024/BHR/CC/198,2024-10-02 10:00:00,2024-10-02 16:00:00,Authorized,,Individual Camp,,Camp Status,Should be Completed
2024/DEL/CC/136,2024-10-19 11:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/149,2024-10-06 10:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/161,2024-10-02 10:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/169,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/170,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/171,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/211,2024-10-13 11:00:00,2024-10-13 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/214,2024-10-12 10:30:00,2024-10-12 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/230,2024-10-05 10:00:00,2024-10-05 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/283,2024-10-07 11:00:00,2024-10-13 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/30,2024-10-19 11:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/326,2024-10-18 10:00:00,2024-10-18 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/36,2024-10-02 9:30:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/369,2024-10-22 10:00:00,2024-10-22 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/388,2024-10-13 10:00:00,2024-10-13 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/39,2024-10-19 10:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/41,2024-10-06 10:00:00,2024-10-06 15:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/410,2024-10-19 10:00:00,2024-10-21 19:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/42,2024-10-13 10:00:00,2024-10-13 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/422,2024-10-19 9:00:00,2024-10-19 12:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/47,2024-10-05 10:00:00,2024-10-05 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/48,2024-10-15 10:00:00,2024-10-15 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/49,2024-10-06 11:00:00,2024-10-06 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/55,2024-10-05 11:00:00,2024-10-05 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/CC/71,2024-10-17 10:30:00,2024-10-17 13:30:00,Authorized,,Individual Camp,,,
2024/DEL/CC/89,2024-10-19 10:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/420,2024-04-01 10:00:00,2024-04-01 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/424,2024-04-13 22:00:00,2024-04-13 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/425,2024-04-06 10:00:00,2024-04-06 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/426,2024-04-06 10:30:00,2024-04-06 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/428,2024-04-06 10:00:00,2024-04-06 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/429,2024-04-20 10:00:00,2024-04-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/430,2024-04-01 9:30:00,2024-04-01 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/431,2024-04-13 10:00:00,2024-04-13 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/432,2024-04-20 10:30:00,2024-04-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/433,2024-04-13 10:30:00,2024-04-13 13:30:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/434,2024-04-13 10:00:00,2024-04-13 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/435,2024-04-13 10:00:00,2024-04-13 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/436,2024-04-13 10:00:00,2024-04-13 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/437,2024-04-20 10:00:00,2024-04-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/438,2024-04-21 10:00:00,2024-04-21 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/439,2024-05-04 10:30:00,2024-05-04 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/440,2024-04-20 10:00:00,2024-04-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/441,2024-05-05 10:00:00,2024-05-05 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/442,2024-05-11 10:30:00,2024-05-11 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/443,2024-05-24 10:00:00,2024-06-04 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/444,2024-06-01 10:00:00,2024-06-01 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/445,2024-06-02 18:00:00,2024-06-03 19:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/446,2024-06-23 10:00:00,2024-06-23 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/447,2024-06-08 10:00:00,2024-06-08 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/448,2024-07-13 9:30:00,2024-07-13 12:30:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/449,2024-07-13 13:00:00,2024-07-13 16:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/450,2024-07-20 11:00:00,2024-07-20 13:30:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/452,2024-07-20 10:00:00,2024-07-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/453,2024-07-27 10:30:00,2024-07-27 13:30:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/454,2024-08-03 10:00:00,2024-08-03 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/455,2024-07-27 10:00:00,2024-07-27 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/463,2024-07-28 13:00:00,2024-07-28 15:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/467,2024-07-28 13:00:00,2024-07-28 15:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/469,2024-08-03 10:00:00,2024-08-03 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/470,2024-08-10 10:00:00,2024-08-10 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/471,2024-08-10 10:00:00,2024-08-10 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/472,2024-08-03 10:00:00,2024-08-03 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/473,2024-08-24 10:30:00,2024-08-24 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/474,2024-08-10 10:00:00,2024-08-10 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/477,2024-08-11 10:00:00,2024-08-11 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/478,2024-08-12 10:00:00,2024-08-20 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/479,2024-08-24 10:00:00,2024-08-24 13:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/480,2024-08-31 11:00:00,2024-08-31 14:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/482,2024-08-31 14:00:00,2024-08-31 17:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/483,2024-08-28 19:00:00,2024-08-29 22:00:00,Authorized,,Individual Camp,,,
2024/DEL/Coll/495,2024-09-01 10:00:00,2024-09-01 13:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/257,2024-10-05 9:00:00,2024-10-13 19:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/258,2024-10-05 10:00:00,2024-10-13 18:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/259,2024-10-05 10:00:00,2024-10-13 18:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/260,2024-10-05 10:00:00,2024-10-13 19:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/261,2024-10-05 10:00:00,2024-10-13 19:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/337,2024-10-24 9:00:00,2024-10-27 18:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/338,2024-10-24 11:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/GOA/CC/348,2024-10-24 10:00:00,2024-10-27 18:00:00,Authorized,,Individual Camp,,,
2024/GUJ/CC/461,2024-10-13 10:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/GUJ/CC/462,2024-10-13 10:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/GUJ/CC/463,2024-10-13 10:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/GUJ/CC/464,2024-10-13 10:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/GUJ/CC/465,2024-10-13 10:00:00,2024-10-27 20:00:00,Authorized,,Individual Camp,,,
2024/HMP/CC/305,2024-10-02 11:00:00,2024-10-08 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/107,2024-10-11 9:00:00,2024-10-13 18:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/109,2024-10-03 11:00:00,2024-10-05 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/113,2024-10-19 10:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/117,2024-10-05 11:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/128,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/135,2024-10-02 10:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/144,2024-10-12 11:00:00,2024-10-12 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/145,2024-10-13 10:00:00,2024-10-13 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/163,2024-10-06 11:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/195,2024-10-06 10:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/212,2024-09-30 7:00:00,2024-10-01 19:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/266,2024-10-06 11:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/307,2024-10-13 11:00:00,2024-10-13 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/38,2024-10-06 10:00:00,2024-10-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/387,2024-10-19 11:00:00,2024-10-27 12:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/393,2024-10-19 10:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/420,2024-10-19 10:00:00,2024-10-20 19:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/481,2024-10-17 11:00:00,2024-10-19 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/488,2024-10-19 9:00:00,2024-10-26 19:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/495,2024-10-23 10:00:00,2024-10-23 12:30:00,Authorized,,Individual Camp,,,
2024/HRY/CC/51,2024-09-28 10:00:00,2024-09-28 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/527,2024-10-21 8:00:00,2024-10-21 20:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/59,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/CC/74,2024-10-02 11:00:00,2024-10-02 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/267,2024-04-06 10:00:00,2024-04-06 12:30:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/268,2024-04-07 11:00:00,2024-04-07 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/269,2024-04-04 10:00:00,2024-04-04 18:30:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/270,2024-04-06 11:00:00,2024-04-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/271,2024-04-06 10:00:00,2024-04-06 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/272,2024-04-13 10:00:00,2024-04-13 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/275,2024-04-13 10:30:00,2024-04-13 13:30:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/276,2024-04-18 8:00:00,2024-04-20 18:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/277,2024-04-20 10:00:00,2024-04-20 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/278,2024-05-04 22:00:00,2024-05-04 14:30:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/279,2024-05-04 11:00:00,2024-05-04 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/280,2024-05-05 11:00:00,2024-05-05 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/281,2024-05-04 10:00:00,2024-05-04 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/282,2024-05-04 10:00:00,2024-05-04 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/283,2024-05-11 11:00:00,2024-05-11 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/284,2024-05-11 10:00:00,2024-05-11 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/285,2024-06-01 10:00:00,2024-06-01 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/286,2024-06-12 10:00:00,2024-06-12 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/287,2024-07-07 10:00:00,2024-07-07 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/288,2024-07-06 10:00:00,2024-07-07 20:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/289,2024-07-13 11:00:00,2024-07-13 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/290,2024-08-04 10:00:00,2024-08-04 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/294,2024-08-10 10:00:00,2024-08-10 14:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/295,2024-08-10 11:00:00,2024-08-10 13:00:00,Authorized,,Individual Camp,,,
2024/HRY/Coll/296,2024-08-10 11:00:00,2024-08-10 14:00:00,Authorized,,Individual Camp,,,
