Dropping Center Code,City,When do you wish to open center (Date) (DD/MM/YY)
2021/UTR/Drop/001,Dehradun,11/8/2019
2022/WEB/Drop/002,Kolkata,20/04/2022
2021/UTR/Drop/002,Dehradun,1/1/2020
2023/DEL/Drop/012,South Delhi,23/12/2021
2021/RAJ/Drop/001,Jaipur,24/11/2020
2021/TLG/Drop/001,Hyderabad,1/1/2020
2023/MHR/Drop/012,Mumbai,15/05/2023
2021/MHR/Drop/0008,Pune,12/6/2021
2021/WEB/Drop/001,Kolkata,11/8/2019
2021/HMP/Drop/001,Solan,11/8/2019
2021/DEL/Drop/002,South West,01/01/2020
2021/MHR/Drop/001,Mumbai,11/8/2019
2021/TND/Drop/001,Chennai,01/01/2020
2024/PNB/Drop/004,Ludhiana,22/02/2024
2023/WEB/Drop/006,Kolkata,1/2/2021
2022/WEB/Drop/003,Paschim Bardhaman,04/12/2022
2021/MHR/Drop/010,Mumbai,04/12/2021
2021/UTR/Drop/007,Dehradun,14/10/2020
2023/UTR/Drop/015,Dehradun,23/05/2023
2022/MHR/Drop/00011,Mumbai,04/12/2021
2022/TLG/Drop/002,Hyderabad,20/04/2022
2021/HRY/Drop/005,Gurugram,01/01/2020
2021/MHR/Drop/007,Pune,02/08/2021
2021/KER/Drop/002,Ernakulam,15/02/2020
2021/HRY/Drop/004,Gurugram,16/09/2020
2021/UTR/Drop/004,Dehradun,12/7/2021
2021/UTR/Drop/005,Dehradun,26/08/2020
2021/RAJ/Drop/002,Jaipur,24/11/2020
2024/UPD/Drop/010,Noida,01/12/2023
