Dropping Center Code,Date of Material Collection (DD/MM/YY),Number of Bags loaded in vehicle ,Material weight (In KGs),Vehicle Category,How much vehicle is filled,Type,To which PU/Center material is being sent
2025/HRY/DC/6823,16/05/2022,Imported Dispatches,650,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,19/05/2022,Imported Dispatches,650,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,15/06/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,02/09/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,10/10/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,07/11/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,18/01/2024,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,11/07/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/HRY/DC/6823,9/5/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,10/9/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6823,1/2/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,28/12/2023,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,04/01/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,29/01/2024,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,26/02/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,06/03/2024,Imported Dispatches,900,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,19/03/2024,Imported Dispatches,700,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,22/03/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6757,01/04/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6757,09/04/2024,Imported Dispatches,500,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6757,10/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,26/04/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,31/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,31/05/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,14/06/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,31/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,24/07/2024,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6757,15/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,04/07/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,28/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,21/08/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,06/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,09/08/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
