Camp Code,test,Start Date (DD-MM-YYYY),End Date (DD-MM-YYYY),Activity Status 
2024/UPD/GBG /013,11-10-2024,11-10-2024 10:00:00,11-10-2024,11-10-2024 16:00:00,Completed
2025/WEB/GBG /030,24-01-2025,24-01-2025 10:00:00,24-01-2025,24-01-2025 16:00:00,Completed
2025/WEB/Know/026,11-01-2025,11-01-2025 10:00:00,11-01-2025,11-01-2025 16:00:00,Completed
2024/WEB/GBG /012,06-04-2024,06-04-2024 10:00:00,06-04-2024,06-04-2024 16:00:00,Completed
2025/TLG/Othe/043,07-12-2024,07-12-2024 10:00:00,07-12-2024,07-12-2024 16:00:00,Completed
2024/WEB/GBG /028,28-12-2024,28-12-2024 10:00:00,29-12-2024,28-12-2024 16:00:00,Completed
2025/TLG/Othe/037,19-12-2024,19-12-2024 10:00:00,19-12-2024,19-12-2024 16:00:00,Completed
2024/TLG/Othe/035,12-06-2024,12-06-2024 10:00:00,12-06-2024,12-06-2024 16:00:00,Completed
2024/TND/Othe/059,19-10-2024,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/TND/Othe/062,06-10-2024,06-10-2024 10:00:00,06-10-2024,06-10-2024 16:00:00,Completed
2024/TND/Othe/039,26-10-2024,26-10-2024 10:00:00,26-10-2024,26-10-2024 16:00:00,Completed
2024/TND/Othe/052,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/053,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/054,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/050,19-10-2024,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2025/TND/Othe/070,04-01-2025,04-01-2025 10:00:00,04-01-2025,04-01-2025 16:00:00,Completed
2024/TND/Othe/044,26-10-2024,26-10-2024 10:00:00,26-10-2024,26-10-2024 16:00:00,Completed
2024/TND/Othe/043,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2025/TND/Othe/076,01-02-2025,01-02-2025 10:00:00,01-02-2025,01-02-2025 16:00:00,Completed
2024/TND/Othe/056,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/040,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/058,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2025/TND/Othe/072,25-01-2025,25-01-2025 10:00:00,26-01-2025,25-01-2025 16:00:00,Completed
2024/TND/Othe/064,02-10-2024,02-10-2024 10:00:00,02-10-2024,02-10-2024 16:00:00,Completed
2024/TND/Othe/049,20-10-2024,20-10-2024 10:00:00,20-10-2024,20-10-2024 16:00:00,Completed
2024/TND/Othe/045,25-10-2024,25-10-2024 10:00:00,26-10-2024,25-10-2024 16:00:00,Completed
2025/TLG/Othe/041,25-01-2025,25-01-2025 10:00:00,25-01-2025,25-01-2025 16:00:00,Completed
2024/TND/Othe/061,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/051,06-10-2024,06-10-2024 10:00:00,06-10-2024,06-10-2024 16:00:00,Completed
2024/TND/Othe/036,29-09-2024,29-09-2024 10:00:00,29-09-2024,29-09-2024 16:00:00,Completed
2024/TND/Othe/057,20-10-2024,20-10-2024 10:00:00,20-10-2024,20-10-2024 16:00:00,Completed
2024/TND/Othe/068,21-12-2024,21-12-2024 10:00:00,21-12-2024,21-12-2024 16:00:00,Completed
2024/TND/Othe/055,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/Othe/047,02-10-2024,02-10-2024 10:00:00,02-10-2024,02-10-2024 16:00:00,Completed
2025/TLG/Othe/036,13-12-2024,13-12-2024 10:00:00,13-12-2024,13-12-2024 16:00:00,Completed
2025/TND/Othe/071,05-01-2025,05-01-2025 10:00:00,05-01-2025,05-01-2025 16:00:00,Completed
2024/TND/Othe/046,02-10-2024,02-10-2024 10:00:00,02-10-2024,02-10-2024 16:00:00,Completed
2024/TND/Othe/060,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2025/TND/Othe/081,02-03-2025,02-03-2025 10:00:00,02-03-2025,02-03-2025 16:00:00,Completed
2024/TND/Othe/048,20-10-2024,20-10-2024 10:00:00,20-10-2024,20-10-2024 16:00:00,Completed
2024/TND/Othe/063,05-10-2024,05-10-2024 10:00:00,06-10-2024,05-10-2024 16:00:00,Completed
2025/WEB/Chup/002,19-02-2025,19-02-2025 10:00:00,19-02-2025,19-02-2025 16:00:00,Completed
2024/MHR/Chup/008,28-05-2024,28-05-2024 10:00:00,28-05-2024,28-05-2024 16:00:00,Completed
2024/TND/Chup/012,23-12-2024,23-12-2024 10:00:00,23-12-2024,23-12-2024 16:00:00,Completed
