Camp Code,START Date (DD-MM-YYYY),testing,End Date (DD-MM-YYYY),Activity Status 
2025/TLG/GBG /021,09-02-2025 10:00:00,09-02-2025,09-02-2025 16:00:00,Completed
2024/WEB/Know/023,18-12-2024 10:00:00,18-12-2024,18-12-2024 16:00:00,Completed
2024/WEB/Exhi/002,14-10-2024 10:00:00,18-10-2024,18-10-2024 16:00:00,Completed
2024/WEB/GBG /025,14-10-2024 10:00:00,18-10-2024,18-10-2024 16:00:00,Completed
2025/KAR/Exhi/019,28-02-2025 10:00:00,01-03-2025,01-03-2025 16:00:00,Completed
2024/DEL/GBG /025,02-04-2024 10:00:00,02-04-2024,02-04-2024 16:00:00,Completed
2024/WEB/GBG /027,07-12-2024 10:00:00,08-12-2024,08-12-2024 16:00:00,Completed
2024/WEB/Exhi/003,15-11-2024 10:00:00,16-11-2024,16-11-2024 16:00:00,Completed
2024/DEL/Urba/0007,26-09-2024 10:00:00,26-09-2024,26-09-2024 16:00:00,Completed
2024/WEB/Know/021,14-11-2024 10:00:00,14-11-2024,14-11-2024 16:00:00,Completed
2025/WEB/Know/027,16-01-2025 10:00:00,16-01-2025,16-01-2025 16:00:00,Completed
2025/WEB/Urba/006,13-01-2025 10:00:00,13-01-2025,13-01-2025 16:00:00,Completed
2025/WEB/Urba/007,15-01-2025 10:00:00,15-01-2025,15-01-2025 16:00:00,Completed
2025/WEB/Urba/008,17-01-2025 10:00:00,17-01-2025,17-01-2025 16:00:00,Completed
2025/WEB/Know/025,09-01-2025 10:00:00,09-01-2025,09-01-2025 16:00:00,Completed
2024/DEL/GBG /031,17-10-2024 10:00:00,17-10-2024,17-10-2024 16:00:00,Completed
2024/DEL/GBG /00036,22-10-2024 10:00:00,24-10-2024,24-10-2024 16:00:00,Completed
2024/DEL/Urba/0003,16-08-2024 10:00:00,16-08-2024,16-08-2024 16:00:00,Completed
2024/DEL/Urba/009,16-08-2024. 10:00:00,16-08-2024,16-08-2024 16:00:00,Completed
2024/DEL/GBG /029,07-10-2024 10:00:00,08-10-2024,08-10-2024 16:00:00,Completed
2024/DEL/GBG /034,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/DEL/GBG /00039,05-08-2024 10:00:00,09-08-2024,09-08-2024 16:00:00,Completed
2024/DEL/Urba/0004,27-08-2024 10:00:00,27-08-2024,27-08-2024 16:00:00,Completed
2024/DEL/Urba/002,08-09-2024 10:00:00,08-09-2024,08-09-2024 16:00:00,Completed
2024/DEL/Urba/0005,08-09-2024 10:00:00,08-09-2024,08-09-2024 16:00:00,Completed
2024/DEL/Urba/010,27-08-2024 10:00:00,27-08-2024,27-08-2024 16:00:00,Completed
2024/DEL/Urba/012,24-12-2024 10:00:00,24-12-2024,24-12-2024 16:00:00,Completed
2024/DEL/GBG /028,05-10-2024 10:00:00,05-10-2024,05-10-2024 16:00:00,Completed
2024/DEL/GBG /00024,20-05-2024 10:00:00 ,21-05-2024,21-05-2024 16:00:00,Completed
2024/DEL/Urba/0006,24-09-2024 10:00:00,24-09-2024,24-09-2024 16:00:00,Completed
2024/DEL/GBG /033,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/DEL/GBG /035,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/DEL/Urba/011,06-12-2024 10:00:00,06-12-2024,06-12-2024 16:00:00,Completed
2024/DEL/GBG /032,18-10-2024 10:00:00,18-10-2024,18-10-2024 16:00:00,Completed
2024/DEL/GBG /036,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/DEL/Exhi/013,06-08-2024 10:00:00,10-08-2024,10-08-2024 16:00:00,Completed
2025/DEL/Exhi/014,07-01-2025 10:00:00,09-01-2025,09-01-2025 16:00:00,Completed
2024/DEL/GBG /039,21-11-2024 10:00:00,21-11-2024,21-11-2024 16:00:00,Completed
2024/Not /Chup/002,19-09-2024 10:00:00,19-09-2024,19-09-2024 16:00:00,Completed
2024/DEL/GBG /030,14-10-2024 10:00:00,14-10-2024,14-10-2024 16:00:00,Completed
2024/DEL/Chup/009,06-09-2024 10:00:00,06-09-2024,06-09-2024 16:00:00,Completed
2024/Not /Chup/001,02-09-2024 10:00:00,02-09-2024,02-09-2024 16:00:00,Completed
2024/HRY/Urba/001,09-10-2024 10:00:00,09-10-2024,09-10-2024 16:00:00,Completed
2024/HRY/GBG /023,11-12-2024 10:00:00,12-12-2024,12-12-2024 16:00:00,Completed
2024/HRY/GBG /016,18-10-2024 10:00:00,18-10-2024,18-10-2024 16:00:00,Completed
2024/HRY/GBG /015,18-10-2024 10:00:00,18-10-2024,18-10-2024 16:00:00,Completed
2024/HRY/GBG /017,23-10-2024 10:00:00,23-10-2024,23-10-2024 16:00:00,Completed
2024/HRY/GBG /014,04-10-2024 10:00:00,04-10-2024,04-10-2024 16:00:00,Completed
2024/HRY/GBG /020,25-10-2024 10:00:00,25-10-2024,25-10-2024 16:00:00,Completed
2024/HRY/GBG /022,11-12-2024 10:00:00,11-12-2024,11-12-2024 16:00:00,Completed
2024/HRY/GBG /019,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2024/HRY/GBG /021,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2025/HRY/Chup/003,28-02-2025 10:00:00,28-02-2025,28-02-2025 16:00:00,Completed
2024/HRY/GBG /013,27-09-2024 10:00:00,27-09-2024,27-09-2024 16:00:00,Completed
2024/KAR/GBG /022,08-10-2024 10:00:00,08-10-2024,08-10-2024 16:00:00,Completed
2024/KAR/Chup/004,12-11-2024 10:00:00,12-11-2024,12-11-2024 16:00:00,Completed
2024/KAR/GBG /025,04-11-2024 10:00:00,04-11-2024,04-11-2024 16:00:00,Completed
2024/KAR/Exhi/00018,30-09-2024 10:00:00,30-09-2024,30-09-2024 16:00:00,Completed
2024/KAR/GBG /024,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2024/KAR/Exhi/017,17-09-2024 10:00:00,17-09-2024,17-09-2024 16:00:00,Completed
2024/KAR/Exhi/016,03-10-2024 10:00:00,03-10-2024,03-10-2024 16:00:00,Completed
2024/KAR/GBG /021,10-10-2024 10:00:00,10-10-2024,10-10-2024 16:00:00,Completed
2024/KAR/GBG /023,16-10-2024 10:00:00,16-10-2024,16-10-2024 16:00:00,Completed
2024/KAR/Know/006,16-10-2024 10:00:00,16-10-2024,16-10-2024 16:00:00,Completed
2024/KAR/Exhi/015,12-09-2024 10:00:00,12-09-2024,12-09-2024 16:00:00,Completed
2024/MHR/GBG /038,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2024/MHR/GBG /039,28-10-2024 10:00:00,28-10-2024,28-10-2024 16:00:00,Completed
2024/MHR/GBG /044,16-12-2024 10:00:00,20-12-2024,20-12-2024 16:00:00,Completed
2024/MHR/GBG /036,25-10-2024 10:00:00,25-10-2024,25-10-2024 16:00:00,Completed
2024/MHR/GBG /028,04-10-2024 10:00:00,04-10-2024,04-10-2024 16:00:00,Completed
2024/MHR/GBG /032,14-10-2024 10:00:00,14-10-2024,14-10-2024 16:00:00,Completed
2024/MHR/GBG /031,09-10-2024 10:00:00,09-10-2024,09-10-2024 16:00:00,Completed
2024/MHR/GBG /029,09-11-2024 10:00:00,09-11-2024,09-11-2024 16:00:00,Completed
2024/MHR/GBG /042,02-12-2024 10:00:00,02-12-2024,02-12-2024 16:00:00,Completed
2024/MHR/GBG /035,25-10-2024 10:00:00,25-10-2024,25-10-2024 16:00:00,Completed
2024/MHR/GBG /034,23-10-2024 10:00:00,23-10-2024,23-10-2024 16:00:00,Completed
2024/MHR/GBG /030,09-10-2024 10:00:00,09-10-2024,09-10-2024 16:00:00,Completed
2024/MHR/GBG /040,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2024/MHR/GBG /033,22-10-2024 10:00:00,22-10-2024,22-10-2024 16:00:00,Completed
2024/MHR/GBG /037,23-10-2024 10:00:00,23-10-2024,23-10-2024 16:00:00,Completed
2024/MHR/GBG /041,30-11-2024 10:00:00,30-11-2024,30-11-2024 16:00:00,Completed
2024/MHR/GBG /043,22-11-2024 10:00:00,22-11-2024,22-11-2024 16:00:00,Completed
2024/PNB/Urba/001,04-10-2024 10:00:00,04-10-2024,04-10-2024 16:00:00,Completed
